timestamp,x,y,z
2025-06-10 12:40:47.826821,-0.69,-0.07,0.45
2025-06-10 12:40:48.228263,-0.7,-0.07,0.45
2025-06-10 12:40:48.623681,-0.69,-0.07,0.45
2025-06-10 12:40:49.026582,-0.66,-0.07,0.45
2025-06-10 12:40:49.424826,-0.65,-0.07,0.45
2025-06-10 12:40:49.823859,-0.62,-0.07,0.45
2025-06-10 12:40:50.226191,-0.61,-0.07,0.45
2025-06-10 12:40:50.626431,-0.59,-0.05,0.45
2025-06-10 12:40:51.026427,-0.61,-0.05,0.45
2025-06-10 12:40:51.424549,-0.63,-0.06,0.45
2025-06-10 12:40:51.825110,-0.64,-0.06,0.45
2025-06-10 12:40:52.226101,-0.64,-0.06,0.45
2025-06-10 12:40:52.625392,-0.68,-0.06,0.46
2025-06-10 12:40:53.031034,-0.68,-0.07,0.46
2025-06-10 12:40:53.429336,-0.66,-0.08,0.46
2025-06-10 12:40:53.826562,-0.69,-0.09,0.46
2025-06-10 12:40:54.225063,-0.7,-0.1,0.47
2025-06-10 12:40:54.630482,-0.67,-0.09,0.47
2025-06-10 12:40:55.025570,-0.66,-0.09,0.47
2025-06-10 12:40:55.426790,-0.66,-0.09,0.48
2025-06-10 12:40:55.826087,-0.64,-0.1,0.48
2025-06-10 12:40:56.225384,-0.63,-0.11,0.49
2025-06-10 12:40:56.624714,-0.64,-0.12,0.48
2025-06-10 12:40:57.024827,-0.62,-0.13,0.47
2025-06-10 12:40:57.424250,-0.63,-0.15,0.47
2025-06-10 12:40:57.825128,-0.62,-0.15,0.47
2025-06-10 12:40:58.227053,-0.59,-0.13,0.47
2025-06-10 12:40:58.625620,-0.59,-0.13,0.47
2025-06-10 12:40:59.027447,-0.56,-0.1,0.48
2025-06-10 12:40:59.430631,-0.56,-0.11,0.48
2025-06-10 12:40:59.825943,-0.57,-0.1,0.48
2025-06-10 12:41:00.228794,-0.57,-0.1,0.48
2025-06-10 12:41:00.627867,-0.57,-0.11,0.48
2025-06-10 12:41:01.033249,-0.58,-0.11,0.49
2025-06-10 12:41:01.431585,-0.58,-0.1,0.49
2025-06-10 12:41:01.828744,-0.58,-0.1,0.49
2025-06-10 12:41:02.228639,-0.59,-0.1,0.49
2025-06-10 12:41:02.624374,-0.6,-0.1,0.49
2025-06-10 12:41:03.028204,-0.59,-0.1,0.49
